School_Name,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
CHALLENGER SECONDARY SCHOOL,260.0,85.4,2.3,0.8,0.8,0.8,0.0,1.2,1.2,0.4,0.4,0.0,2.3,222.0,6.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,6.0,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-12,N,Y,"18020 B ST E
SPANAWAY
(47.092483, -122.4282)"
DARRINGTON SR HIGH SCHOOL,135.0,80.0,6.7,3.0,4.4,0.0,0.0,2.2,2.2,0.7,0.7,1.5,4.4,108.0,9.0,4.0,6.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,6.0,DARRINGTON SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"PO BOX 27
DARRINGTON"
ACADEMY OF CONST AND ENGINEERING,396.0,73.5,3.8,0.3,2.8,0.5,0.3,2.0,1.8,2.3,2.0,2.0,2.3,291.0,15.0,1.0,11.0,2.0,1.0,8.0,7.0,9.0,8.0,8.0,9.0,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"8301 84TH STREET NE
MARYSVILLE
(48.07201, -122.11792)"
HUNTINGTON MIDDLE SCHOOL,562.0,97.3,2.7,0.9,1.6,0.0,0.2,2.1,2.0,0.9,1.2,0.4,1.8,547.0,15.0,5.0,9.0,0.0,1.0,12.0,11.0,5.0,7.0,2.0,10.0,KELSO SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y,"500 REDPATH
KELSO
(46.153993, -122.90548)"
LAKE YOUNGS ELEMENTARY SCHOOL,487.0,93.4,4.9,0.6,4.3,0.2,0.2,3.1,2.9,3.5,2.7,2.5,3.9,455.0,24.0,3.0,21.0,1.0,1.0,15.0,14.0,17.0,13.0,12.0,19.0,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"19660 142ND AVE SE
KENT"
AIM HIGH SCHOOL,144.0,75.7,6.3,0.7,5.6,0.0,0.0,3.5,3.5,4.2,2.1,2.8,2.1,109.0,9.0,1.0,8.0,0.0,0.0,5.0,5.0,6.0,3.0,4.0,3.0,SNOHOMISH SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N,"1601 AVENUE D
SNOHOMISH
(47.932005, -122.100356)"
EAST VALLEY HIGH SCHOOL,1128.0,91.6,8.0,2.4,5.2,0.5,0.4,4.4,3.9,3.1,2.0,2.7,5.8,1033.0,90.0,27.0,59.0,6.0,4.0,50.0,44.0,35.0,22.0,31.0,65.0,EAST VALLEY SCHOOL DISTRICT (SPOKANE),SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"15711 E WELLESLEY AVE
SPOKANE VALLEY
(47.700503, -117.194082)"
ENATAI ELEMENTARY SCHOOL,568.0,75.5,5.6,0.9,4.9,0.0,0.0,0.9,0.9,1.2,1.6,3.0,5.5,429.0,32.0,5.0,28.0,0.0,0.0,5.0,5.0,7.0,9.0,17.0,31.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"10615 SE 23RD STREET
BELLEVUE
(47.589908, -122.198511)"
HOCKINSON HIGH SCHOOL,665.0,87.8,9.3,0.8,8.3,0.5,0.0,5.3,3.6,6.0,4.7,5.1,6.8,584.0,62.0,5.0,55.0,3.0,0.0,35.0,24.0,40.0,31.0,34.0,45.0,HOCKINSON SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"16819 NE 159 ST
BRUSH PRAIRIE
(45.737637, -122.499673)"
CLALLAM BAY HIGH AND ELEMENTARY,129.0,92.2,5.4,0.0,5.4,0.0,0.0,1.6,1.6,1.6,1.6,3.1,4.7,119.0,7.0,0.0,7.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,6.0,CAPE FLATTERY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y,"16933 HWY 112
CLALLAM BAY
(48.251988, -124.260158)"
CARRIAGE CREST ELEMENTARY SCHOOL,473.0,96.8,3.0,0.2,2.5,0.2,0.0,1.5,1.5,1.7,2.1,1.3,2.1,458.0,14.0,1.0,12.0,1.0,0.0,7.0,7.0,8.0,10.0,6.0,10.0,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"18235 140TH AVE SE
RENTON
(47.438121, -122.154508)"
IMAGE ELEMENTARY SCHOOL,705.0,74.8,10.2,0.1,8.9,0.3,0.9,8.4,8.4,9.2,8.9,8.1,9.6,527.0,72.0,1.0,63.0,2.0,6.0,59.0,59.0,65.0,63.0,57.0,68.0,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"4400 NE 122ND AVENUE
VANCOUVER
(45.654132, -122.547606)"
WILBUR SECONDARY SCHOOL,153.0,94.1,5.9,0.7,5.2,0.0,0.0,3.9,3.9,4.6,2.6,2.6,3.9,144.0,9.0,1.0,8.0,0.0,0.0,6.0,6.0,7.0,4.0,4.0,6.0,WILBUR SCHOOL DISTRICT,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N,"PO BOX 1090
WILBUR"
HAZELWOOD ELEMENTARY SCHOOL,622.0,95.7,3.2,1.0,2.1,0.2,0.0,1.6,1.8,1.9,1.6,1.6,1.9,595.0,20.0,6.0,13.0,1.0,0.0,10.0,11.0,12.0,10.0,10.0,12.0,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"6928 116TH AVE SE
NEWCASTLE
(47.541145, -122.18563)"
MORTON ELEMENTARY SCHOOL,166.0,74.7,3.6,1.2,2.4,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.6,124.0,6.0,2.0,4.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,6.0,MORTON SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"PO BOX L
MORTON"
CASCADE VIEW ELEMENTARY,462.0,95.5,0.6,0.2,0.4,0.0,0.0,0.2,0.2,0.6,0.2,0.0,0.2,441.0,3.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,TUKWILA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"13601 32ND AVENUE S
TUKWILA
(47.481614, -122.291819)"
APOLO HIGH SCHOOL,33.0,75.8,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,WINLOCK SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y,"241 NORTH MILITARY ROAD
WINLOCK
(46.48825, -122.892372)"
CHIMACUM CREEK PRIMARY SCHOOL,224.0,88.4,8.5,3.6,4.9,0.4,0.0,6.7,6.7,6.3,6.3,5.8,8.0,198.0,19.0,8.0,11.0,1.0,0.0,15.0,15.0,14.0,14.0,13.0,18.0,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -2,Y,N,"313 NESS CORNER RD
PORT HADLOCK
(48.031877, -122.773244)"
MOUNTAIN MEADOW ELEMENTARY,489.0,93.9,5.7,2.7,2.9,0.2,0.0,3.3,3.3,3.7,4.5,3.5,4.1,459.0,28.0,13.0,14.0,1.0,0.0,16.0,16.0,18.0,22.0,17.0,20.0,WHITE RIVER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"PO BOX 2390
BUCKLEY"
COLUMBIA RIDGE ELEMENTARY,478.0,95.0,2.9,0.2,1.7,0.2,0.8,2.5,2.5,2.3,2.5,1.7,2.9,454.0,14.0,1.0,8.0,1.0,4.0,12.0,12.0,11.0,12.0,8.0,14.0,EPHRATA SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -4,Y,N,"60 H SE
EPHRATA"
CEDARHURST ELEMENTARY,624.0,95.8,0.6,0.0,0.6,0.0,0.0,0.6,0.6,0.6,0.0,0.5,0.5,598.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,3.0,3.0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,"611 S 132ND ST
BURIEN
(47.484911, -122.324958)"
DAVID T. DENNY INTERNATIONAL SCHOOL,814.0,81.0,6.9,3.3,4.3,0.5,0.1,2.9,2.9,3.2,2.2,3.1,6.1,659.0,56.0,27.0,35.0,4.0,1.0,24.0,24.0,26.0,18.0,25.0,50.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"8402 30 AV SW
SEATTLE
(47.527381, -122.371242)"
HARRY S TRUMAN ELEMENTARY SCHOOL,571.0,86.5,9.3,0.5,7.9,0.9,0.0,7.9,7.7,8.1,8.1,7.4,8.8,494.0,53.0,3.0,45.0,5.0,0.0,45.0,44.0,46.0,46.0,42.0,50.0,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,"4505 NE 42ND AVE
VANCOUVER
(45.6547, -122.628342)"
CAVELERO MID HIGH SCHOOL,1295.0,90.7,4.4,0.8,3.5,0.3,0.0,2.6,2.1,2.2,2.8,2.2,3.4,1175.0,57.0,10.0,45.0,4.0,0.0,34.0,27.0,29.0,36.0,28.0,44.0,LAKE STEVENS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,8-9,N,N,"8220 24TH ST SE
EVERETT"
ST. JOHN ELEMENTARY,71.0,93.0,4.2,0.0,4.2,0.0,0.0,4.2,4.2,2.8,4.2,4.2,2.8,66.0,3.0,0.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,2.0,ST. JOHN SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,"W 301 NOB HILL
SAINT JOHN"
SUMMIT VIEW HIGH SCHOOL,350.0,70.3,14.9,1.1,11.4,1.4,1.1,13.1,12.6,8.3,5.7,8.0,13.4,246.0,52.0,4.0,40.0,5.0,4.0,46.0,44.0,29.0,20.0,28.0,47.0,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N,"PO BOX 200
BATTLE GROUND"
TROJAN ALTERNATIVE SCHOOL,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PE ELL SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N,"P.O. BOX 368
PE ELL"
HILLTOP ELEMENTARY,522.0,90.6,5.7,1.9,4.0,0.0,0.0,2.1,2.1,3.3,3.1,2.3,5.4,473.0,30.0,10.0,21.0,0.0,0.0,11.0,11.0,17.0,16.0,12.0,28.0,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,"20425 DAMSON ROAD
LYNNWOOD
(47.812752, -122.24391)"
B F DAY ELEMENTARY SCHOOL,293.0,87.0,8.2,2.4,6.1,0.3,0.0,3.1,2.7,2.4,4.1,6.5,5.5,255.0,24.0,7.0,18.0,1.0,0.0,9.0,8.0,7.0,12.0,19.0,16.0,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"3921 LINDEN AV N
SEATTLE
(47.655167, -122.348572)"
CHIMACUM HIGH SCHOOL,360.0,33.3,11.4,0.8,10.0,0.8,0.0,8.3,6.7,7.5,7.5,10.0,8.6,120.0,41.0,3.0,36.0,3.0,0.0,30.0,24.0,27.0,27.0,36.0,31.0,CHIMACUM SCHOOL DISTRICT,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N,"PO BOX 278
CHIMACUM"
CEDAR CREST ACADEMY - BELLEWOOD,133.0,99.2,0.8,0.0,0.8,0.0,0.0,0.8,0.8,0.8,0.8,0.8,0.8,132.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N,"2125 122TH AVE NE
BELLEVUE"
EAGLE HIGH SCHOOL,165.0,86.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOPPENISH SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,6-12,N,Y,"143 WARD RD
TOPPENISH
(46.380431, -120.335876)"
SADIE HALSTEAD MIDDLE SCHOOL,343.0,56.0,23.0,5.2,17.8,0.3,0.0,6.7,5.8,8.7,9.0,7.9,21.3,192.0,79.0,18.0,61.0,1.0,0.0,23.0,20.0,30.0,31.0,27.0,73.0,NEWPORT SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,5-8,N,Y,"P. O. BOX 70
NEWPORT"
GRAHAM ELEMENTARY,703.0,94.5,3.6,1.3,2.0,0.3,0.0,2.1,2.3,2.0,2.3,2.8,2.8,664.0,25.0,9.0,14.0,2.0,0.0,15.0,16.0,14.0,16.0,20.0,20.0,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"10026 204TH ST E
GRAHAM
(47.071251, -122.296713)"
CURLEW ELEM & HIGH SCHOOL,180.0,61.1,24.4,3.9,13.9,7.2,0.0,15.0,15.0,13.9,15.0,13.3,21.1,110.0,44.0,7.0,25.0,13.0,0.0,27.0,27.0,25.0,27.0,24.0,38.0,CURLEW SCHOOL DISTRICT,FERRY,EDUCATIONAL SERVICE DISTRICT 101,K -12,Y,Y,"PO BOX 370
CURLEW"
HORSE HEAVEN HILLS MIDDLE SCHOOL,806.0,94.8,5.1,0.4,4.0,0.7,0.0,2.2,2.7,2.1,2.4,2.6,3.2,764.0,41.0,3.0,32.0,6.0,0.0,18.0,22.0,17.0,19.0,21.0,26.0,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y,"3500 SOUTH VANCOUVER STREET
KENNEWICK
(46.178333, -119.148483)"
BREWSTER HIGH SCHOOL,244.0,94.3,2.5,0.4,2.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.0,230.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,BREWSTER SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N,"P.O. BOX 97
BREWSTER"
CASCADE MIDDLE SCHOOL,723.0,89.2,4.8,1.0,3.6,0.1,0.3,2.4,2.2,2.4,2.1,1.4,2.8,645.0,35.0,7.0,26.0,1.0,2.0,17.0,16.0,17.0,15.0,10.0,20.0,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y,"1015 24TH ST NE
AUBURN
(47.328422, -122.2159)"
MOUNT BAKER ACADEMY,33.0,57.6,18.2,6.1,12.1,0.0,0.0,18.2,18.2,18.2,15.2,15.2,18.2,19.0,6.0,2.0,4.0,0.0,0.0,6.0,6.0,6.0,5.0,5.0,6.0,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,"PO BOX 9
ACME"
EVERGREEN ACADEMY,138.0,93.5,4.3,0.7,3.6,0.0,0.0,3.6,3.6,4.3,2.2,2.2,4.3,129.0,6.0,1.0,5.0,0.0,0.0,5.0,5.0,6.0,3.0,3.0,6.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-6,Y,Y,"16017 118TH PL NE
BOTHELL
(47.744221, -122.182507)"
BYRON KIBLER ELEMENTARY SCHOOL,444.0,93.0,5.9,2.3,3.4,0.0,0.2,3.8,3.8,4.1,3.6,3.6,4.7,413.0,26.0,10.0,15.0,0.0,1.0,17.0,17.0,18.0,16.0,16.0,21.0,ENUMCLAW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"2057 KIBLER AVE
ENUMCLAW
(47.210172, -121.995275)"
COMMUNITY CHRISTIAN ACADEMY,172.0,96.5,1.7,0.0,1.7,0.0,0.0,1.2,1.2,1.2,1.2,1.7,1.2,166.0,3.0,0.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,"4706 PARK CENTER AVE NE
LACEY
(47.05048, -122.821088)"
GRAND MOUND ELEMENTARY,532.0,92.3,5.8,0.6,4.9,0.4,0.0,3.8,3.6,3.9,4.3,4.1,5.3,491.0,31.0,3.0,26.0,2.0,0.0,20.0,19.0,21.0,23.0,22.0,28.0,ROCHESTER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,3-5,N,N,"7710 JAMES RD SW
ROCHESTER
(46.794264, -123.044309)"
CHERRYDALE ELEMENTARY,362.0,93.4,4.4,0.3,3.3,0.3,0.6,3.0,3.0,3.6,3.3,3.0,3.9,338.0,16.0,1.0,12.0,1.0,2.0,11.0,11.0,13.0,12.0,11.0,14.0,STEILACOOM HIST. SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -3,Y,N,"1201 GALLOWAY
STEILACOOM
(47.165243, -122.589135)"
GRAINGER ELEMENTARY,462.0,93.5,6.1,0.2,5.8,0.0,0.0,4.8,4.5,5.2,5.2,5.0,5.6,432.0,28.0,1.0,27.0,0.0,0.0,22.0,21.0,24.0,24.0,23.0,26.0,OKANOGAN SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,"1118 5TH AVE S
OKANOGAN
(48.357794, -119.592706)"
CORDATA ELEMENTARY SCHOOL,420.0,80.2,6.7,2.1,4.5,0.0,0.0,5.7,5.5,6.2,5.7,4.5,6.4,337.0,28.0,9.0,19.0,0.0,0.0,24.0,23.0,26.0,24.0,19.0,27.0,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,"4420 ALDRICH RD
BELLINGHAM
(48.801456, -122.508075)"
GRANGER HIGH SCHOOL,442.0,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GRANGER SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N,"701 E AVENUE
GRANGER
(46.347133, -120.18824)"
DISCOVERY,199.0,88.9,6.0,1.5,4.0,1.0,0.0,4.0,3.5,3.0,1.5,2.5,5.5,177.0,12.0,3.0,8.0,2.0,0.0,8.0,7.0,6.0,3.0,5.0,11.0,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-13,N,N,"2150 FIRCREST DR SE
PORT ORCHARD
(47.529473, -122.598941)"
I-TRACC,100.0,79.0,5.0,1.0,4.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,79.0,5.0,1.0,4.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,4.0,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N,"13313 E BARKER
SPOKANE VALLEY"
WILSON CREEK HIGH,76.0,85.5,7.9,1.3,6.6,0.0,0.0,5.3,5.3,1.3,0.0,1.3,2.6,65.0,6.0,1.0,5.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,2.0,WILSON CREEK SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,7-12,N,N,"P.O. BOX 46
WILSON CREEK"
CRESTWOOD ELEMENTARY,451.0,92.2,7.1,1.3,6.0,0.2,0.0,4.9,4.9,5.1,4.7,4.7,5.8,416.0,32.0,6.0,27.0,1.0,0.0,22.0,22.0,23.0,21.0,21.0,26.0,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,"3914 W TAPPS DR E
BONNEY LAKE
(47.221163, -122.197832)"
NEAH BAY JUNIOR/ SENIOR HIGH SCHOOL,175.0,92.0,6.9,0.6,5.1,1.7,0.0,5.7,5.1,1.7,1.7,0.0,4.0,161.0,12.0,1.0,9.0,3.0,0.0,10.0,9.0,3.0,3.0,0.0,7.0,CAPE FLATTERY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-12,N,Y,"3560 DEER STREET
NEAH BAY"
A J WEST ELEMENTARY,400.0,94.8,1.0,0.3,0.8,0.0,0.0,1.0,1.0,1.0,1.0,0.5,1.0,379.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,4.0,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,"1801 BAY AVE
ABERDEEN
(46.9724, -123.838253)"
CANYON CREEK ELEMENTARY,781.0,90.8,3.6,0.9,2.8,0.0,0.0,2.0,2.0,2.6,2.4,2.4,2.9,709.0,28.0,7.0,22.0,0.0,0.0,16.0,16.0,20.0,19.0,19.0,23.0,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,"21400 35 AV SE
BOTHELL
(47.80359, -122.186189)"
MABTON JR SR HIGH SCHOOL,365.0,92.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MABTON SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-12,N,N,"P.O. BOX 38
MABTON"
CHINOOK MIDDLE SCHOOL,562.0,94.5,1.8,0.9,0.7,0.2,0.0,0.0,0.0,0.5,0.4,0.0,0.9,531.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N,"18650 42ND AVE S
SEATAC
(47.435373, -122.281675)"
ELLENSBURG CHRISTIAN SCHOOL,86.0,83.7,16.3,0.0,16.3,0.0,0.0,12.8,12.8,15.1,12.8,12.8,16.3,72.0,14.0,0.0,14.0,0.0,0.0,11.0,11.0,13.0,11.0,11.0,14.0,ELLENSBURG SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K-8,Y,Y,"407 S ANDERSON ST
ELLENSBURG
(46.988709, -120.541459)"
COLVILLE VALLEY JUNIOR ACADEMY,23.0,60.9,39.1,0.0,39.1,0.0,0.0,30.4,30.4,34.8,30.4,34.8,39.1,14.0,9.0,0.0,9.0,0.0,0.0,7.0,7.0,8.0,7.0,8.0,9.0,COLVILLE SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-8,Y,Y,"139 E CEDAR LP
COLVILLE
(48.531253, -117.895334)"
N OMAK ELEMENTARY,406.0,88.7,2.2,0.7,1.7,0.0,0.0,1.5,1.5,1.7,1.7,1.7,1.2,360.0,9.0,3.0,7.0,0.0,0.0,6.0,6.0,7.0,7.0,7.0,5.0,OMAK SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-2,Y,N,"P O BOX 833
OMAK"
CARNATION ELEMENTARY SCHOOL,369.0,86.7,8.9,0.8,7.6,0.5,0.0,4.6,4.6,5.4,6.5,8.4,7.0,320.0,33.0,3.0,28.0,2.0,0.0,17.0,17.0,20.0,24.0,31.0,26.0,RIVERVIEW SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,"4950 TOLT AVE
CARNATION"
COUGAR CREEK ELEMENTARY SCHOOL,366.0,90.4,6.0,2.7,2.7,0.5,0.5,4.1,4.1,4.6,4.1,3.6,5.7,331.0,22.0,10.0,10.0,2.0,2.0,15.0,15.0,17.0,15.0,13.0,21.0,LAKEWOOD SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,"P.O. BOX 128
NORTH LAKEWOOD"
GARFIELD ELEMENTARY,56.0,85.7,7.1,0.0,7.1,0.0,0.0,8.9,8.9,10.7,8.9,8.9,12.5,48.0,4.0,0.0,4.0,0.0,0.0,5.0,5.0,6.0,5.0,5.0,7.0,GARFIELD PALOUSE SCHOOL DISTRICT,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,"POB 398
GARFIELD"
GRACE LUTHERAN SCHOOL,22.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y,"1207 S 7TH AVE
YAKIMA
(46.582431, -120.516019)"
SPRINGDALE ELEMENTARY,200.0,68.0,9.0,3.0,4.5,1.5,0.0,6.5,6.0,5.5,7.5,7.5,5.5,136.0,18.0,6.0,9.0,3.0,0.0,13.0,12.0,11.0,15.0,15.0,11.0,MARY WALKER SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y,"PO BOX 159
SPRINGDALE"
